Code,SMILES,Score,,,,,
D44,C[C@@H]1CCC/C=C\C2(CC(=O)c3c(cc(cc3O2)O)CC(=O)O1)O,-14.1,,,,D44,
D45,C[C@@H]1CCC/C=C/C(=O)c2c(cc(cc2O)O)CC(=O)O1,-13.3,,,,D45,
D46,CN1/C(=C/c2ccccc2)/C(=O)N(C)C(CO)(C1=O)SC,-12.1,,,,D46,
D47,C[C@H](CC[C@H]1c2cccc(c2C(=O)O1)OC)O,-11.6,,,,D47,
D48,CCCC[C@H]1c2cccc(c2C(=O)O1)OC,-11.8,,,,D48,
D49,c1(ccccc1)C[C@H]1N(C(=O)[C@@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](N(C(=O)[C@H](NC1=O)C)C)C)C(C)C)C)CC(C)C)C,-12.7,,,,D49,
D50,c1(ccccc1)C[C@H]1N(C(=O)[C@@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](N(C(=O)[C@H](NC1=O)C)C)C)C(C)(C)O)C)CC(C)C)C,-14.2,,,,D50,
D51,C[C@@H]1[C@H]2CC(=O)[C@@H]([C@@]31[C@H](C(=C)OC3=O)O2)O,-10.6,,,,D51,
D52,Cc1ccc(cc1C(=O)C(C)O)O,-9.9,,,,D52,
D53,c1ccc(cc1)Cc1occ(c(=O)c1)C(=O)N,-12.9,,,,D53,
D54,c1ccc(cc1)Cc1[nH]c(=O)c(c(c1)O)C=O,-13.2,,,,D54,
D55,C1[C@@H](C([C@H]2[C@](C1)([C@](C(CC2=O)C)(CO)O)C)(C)C)O,-12,,,,D55,
D56,[C@@H]1(CC([C@H]2[C@](C1)([C@](C(CC2=O)C)(CO)O)C)(C)C)O,-11.5,,,,D56,
D57,C1[C@@H](C([C@H]2[C@](C1)([C@H](C(CC2=O)C)CO)C)(C)C)O,-11.6,,,,D57,
D58,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](C=C1COC(=O)[C@]21O)OC(=O)/C=C/C=C/C(=O)O,-15.9,,,,D58,
D59,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](C=C1COC(=O)[C@]21O)OC(=O)/C=C/C=C/C(=O),-15.5,,,,D59,
D60,CC(C(/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@@]2([C@@]2(C)CCCC(C)(C)[C@H]12)O)O)O,-15.6,,,,D60,
D61,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@@]2([C@@]2(C)CCCC(C)(C)[C@H]12)O,-15.7,,,,D61,
D62,c1(c(=O)oc(cc1OC)/C(=C/C(CC(=O)O)C)/C)C,-12.7,,,,D62,
D63,c1(c(=O)oc(cc1OC)/C(=C/C(CC(=O)O)C)/C)CO,-12.2,,,,D63,
D64,c1(c(c(=O)oc(c1)/C(=C/C(CCCC(=O)O)C)/C)CO)OC,-13.5,,,,D64,
D65,CC(C)C[C@H]1C(=O)N2CCCC[C@H]2/C(=N/[C@@H](CCCCCC(=O)C2CO2)/C(=N/[C@H](Cc2ccccc2)/C(=N\1)/O)/O)/O,-16,,,,#N/A,
D66,c1cc(ccc1C/C(=N/O)/C(=O)OC[C@@H]([C@@H](COC(=O)/C(=N\O)/Cc1ccc(cc1)O)O)O)O,-16.6,,,,D66,
D67,Cc1cc(cc(c1C(=O)c1c2c3cc(cc(c3C(=O)c3c(cc(C)c(c23)oc1=O)O)O)O)O)O,-18.6,,,,D67,
D68,c1(ccc(cc1)O)C[C@@H]1NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C1=O)CCC2)C(C)C)C(C)C)C)Cc1ccc(cc1)O,-13.7,,,,D68,
D69,c1(ccc(cc1)O)C[C@@H]1NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C1=O)CCC2)C(C)C)[C@@H](C)CC)C)Cc1ccc(cc1)O,-13.1,,,,D69,
D70,C1(=O)OC(c2c(C1)cc(cc2O)O)CCCCCCC(C)O,-13.5,,,,D70,
D71,C1(=O)OC(c2c(C1)cc(cc2O)O)CCCCCCC(C)OC(=O)C,-14.7,,,,D71,
D72,C1(=O)OC(c2c(C1)cc(cc2O)O)CCCCCCCCOC(=O)C,-14.2,,,,D72,
D73,c1(c(c(cc(c1)O)O)C(=O)CCCCCCC(C)O)CC(=O)OC,-14.1,,,,D73,
D74,c1(c(c(cc(c1)O)O)C(=O)CCCCCCCC)CC(=O)OC,-13.6,,,,D74,
D75,c1c(cc(c2c1cc(c(=O)o2)CC(C)O)OC)OC,-11.9,,,,D75,
D76,c1c(cc(c2c1cc(c(=O)o2)C(C(C)O)O)OC)OC,-12.5,,,,D76,
D77,c1c(cc(c2c1cc(c(=O)o2)CC(CO)O)OC)OC,-12.3,,,,D77,
D78,c1c(cc(c2c1cc(c(=O)o2)CC(CO)O)O)OC,-11.9,,,,D78,
D79,c1c(cc(c2c1cc(c(=O)o2)CO)OC)O,-11.1,,,,D79,
D80,CC(=C1C(C(=O)N(CCC(=O)OC)C1=O)O)C,-10.8,,,,D80,
D81,c1(cc(c2c(c1)oc(cc2=O)CCCCCCC)CC(=O)OC)O,-14.6,,,,D81,
D82,c1(cc(c2c(c1)oc(cc2=O)CCCCCCC)CC(=O)OCC)O,-14.1,,,,D82,
D83,c1(cc(c2c(c1)oc(cc2=O)CCCCCCC)CC(=O)O)O,-13.9,,,,D83,
D84,c1(cc(c2c(c1)oc(cc2=O)CCCCCC(C)O)CC(=O)OC)O,-15,,,,D84,
D85,c1(cc(c2c(c1)oc(cc2=O)CCCCCC(C)O)CC(=O)OCC)O,-15.5,,,,D85,
D86,c1(cc(c2c(c1)oc(cc2=O)CCCCC)CC(=O)OC)O,-13.8,,,,D86,
D87,CC(=CCc1cccc2c(C[C@H]3C(=N[C@@H](C)C(=O)N3O)O)c[nH]c12)C,-14.9,,,,D87,
D88,C/C=C\[C@@H]([C@@H](C1=C(C)C(=O)[C@]2([C@H]([C@](C(=O)c3ccccc3)(N=C2O)OC)O)O1)O)O,-16.5,,,,#N/A,
D89,C1=C[C@]2([C@H]([C@@H](C1=O)C)[C@@H](C(=O)[C@]1(C2CC[C@@H]2[C@@]1(C[C@@H](/C/2=C(/CCCC(C)(C)O)\C(=O)O)OC(=O)C)C)C)OC(=O)C)C,-12.8,,,,D89,
D90,c1cc(c2c(c1)c(=O)c(c(o2)CO)C)OC,-10.8,,,,D90,
D91,CCCCCCCCCCCCCCCc1cc(cc(c1C(=O)Oc1cc(C)c(c(c1)O)C(=O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O,-19,,,,D91,
D92,"C(=O)([C@@H](N(c1c(cccc1)C(=O)O)C(=O)[C@H](N(C)C(=O)[C@@H](N)C(C)C)Cc1ccccc1)CC(C)C)N	",-18.4,,,,D92,
D93,"C(=O)([C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(cc1)O)N(C)C(=O)[C@H]([C@@H](CC)C)NC(=O)C)OC	",-16.1,,,,D93,
D94,"CC[C@@H](C)[C@H](NC(=O)C)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)O	",-14.8,,,,D94,
D95,"C(=O)([C@H](N(C)C(=O)[C@@H](NC(=O)C)[C@@H](CC)C)Cc1ccccc1)O	",-15.1,,,,D95,
D96,c1c(cc2c(c1)C(=O)C1=C(C2=O)[C@H]([C@H]([C@H](O1)C)O)O)O,-12.6,,,,#N/A,
D97,c1ccc2c(c1O)C(=O)C1=C(C2=O)[C@H]([C@H]([C@H](O1)C)O)O,-13.2,,,,#N/A,
